,Res,Noise_Param,Scale_Param,Distances_Classic,CI_Distances_Classic,Distances_Noised,CI_Distances_Noised,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear
0,200.0,0.001,100.0,28.275342329660198,9.29648460850266e-16,28.29027461402341,0.0763126775932921,56.26793123602384,56.29764648190661,0.5025125628140701,0.9998957013660926,0.11926605413885935,0.12101815547764838,0.9856803853542452
1,200.0,0.0012067926406393288,100.0,28.275342329660198,9.29648460850266e-16,28.38520630881745,0.08922121074663895,56.26793123602384,56.48656055454674,0.5025125628140702,0.9967038884661429,0.11926605413885935,0.1215903579366285,0.9810961244475509
2,200.0,0.0014563484775012444,100.0,28.275342329660198,9.29648460850266e-16,28.335914173219813,0.10592951796796425,56.26793123602384,56.38846920470744,0.5025125628140702,0.9986739212409678,0.11926605413885935,0.12266007624621877,0.9725894791047069
3,200.0,0.0017575106248547913,100.0,28.275342329660198,9.29648460850266e-16,28.333963915639906,0.13468571154863165,56.26793123602384,56.384588192123424,0.5025125628140703,0.9992628273440192,0.11926605413885935,0.12424107215621265,0.9603653918050279
4,200.0,0.0021209508879201904,100.0,28.275342329660198,9.29648460850266e-16,28.38266852481559,0.145644686294368,56.26793123602384,56.481510364383034,0.5025125628140702,0.9977578251550427,0.11926605413885935,0.1265452202496821,0.9428854549071627
5,200.0,0.002559547922699536,100.0,28.275342329660198,9.29648460850266e-16,28.411493941104453,0.19257290995031118,56.26793123602384,56.53887294279787,0.5025125628140702,0.9979242458728516,0.11926605413885935,0.12983233603316305,0.9194725872295642
6,200.0,0.0030888435964774815,100.0,28.275342329660198,9.29648460850266e-16,28.547253857955628,0.22357830020387756,56.26793123602384,56.80903517733171,0.5025125628140703,0.9940340539992384,0.11926605413885935,0.13457569748336057,0.8872001247673242
7,200.0,0.003727593720314938,100.0,28.275342329660198,9.29648460850266e-16,28.53447160509105,0.28147176652751776,56.26793123602384,56.783598494131205,0.5025125628140702,0.9965733151154657,0.11926605413885935,0.14036297137008122,0.8508791854149901
8,200.0,0.004498432668969444,100.0,28.275342329660198,9.29648460850266e-16,28.408040726952212,0.33568372314442146,56.26793123602384,56.53200104663491,0.5025125628140703,1.0036099006511192,0.11926605413885935,0.1492134230089341,0.8005922786950621
9,200.0,0.005428675439323859,100.0,28.275342329660198,9.29648460850266e-16,28.494523237960273,0.40884440251110804,56.26793123602384,56.704101243540954,0.5025125628140703,1.0045705366730806,0.11926605413885935,0.1611172727481056,0.741537682812647
10,200.0,0.006551285568595509,100.0,28.275342329660198,9.29648460850266e-16,28.816932644691683,0.4511878130071437,56.26793123602384,57.34569596293647,0.5025125628140702,0.9957930448155914,0.11926605413885935,0.17748091294630639,0.6734313355496521
11,200.0,0.0079060432109077,100.0,28.275342329660198,9.29648460850266e-16,29.200763865275754,0.5500869415046583,56.26793123602384,58.109520091898766,0.5025125628140702,0.9888415190548329,0.11926605413885935,0.19754335126345407,0.6049562122003308
12,200.0,0.009540954763499945,100.0,28.275342329660198,9.29648460850266e-16,29.007199513993093,0.6347398212285946,56.26793123602384,57.724327032846276,0.5025125628140702,1.0041160648868097,0.11926605413885935,0.22478411394097328,0.5319094671172413
13,200.0,0.01151395399326447,100.0,28.275342329660198,9.29648460850266e-16,29.402767903872533,0.7734234223551346,56.26793123602384,58.51150812870637,0.5025125628140701,1.0049767033012318,0.11926605413885935,0.25850783602500005,0.4624755880176178
14,200.0,0.013894954943731374,100.0,28.275342329660198,9.29648460850266e-16,29.93662020927477,0.8561519249956264,56.26793123602384,59.57387421645681,0.5025125628140702,0.9920354399700215,0.11926605413885935,0.30323771993203696,0.39431912793452534
15,200.0,0.016768329368110076,100.0,28.275342329660198,9.29648460850266e-16,30.15145118072564,1.0603449422623918,56.26793123602384,60.001387849644054,0.5025125628140701,1.0098242281702212,0.11926605413885935,0.35706907011408384,0.3349285791213339
16,200.0,0.020235896477251564,100.0,28.275342329660198,9.29648460850266e-16,31.938689938642018,1.2463802080512851,56.26793123602384,63.55799297789765,0.5025125628140701,0.97379005328765,0.11926605413885935,0.4221292394750835,0.2832950833546688
17,200.0,0.02442053094548651,100.0,28.275342329660198,9.29648460850266e-16,31.61811783859232,1.5125764629919716,56.26793123602384,62.920054498798734,0.5025125628140702,1.035985397746021,0.11926605413885935,0.50172205051557,0.23838509288919113
18,200.0,0.029470517025518096,100.0,28.275342329660198,9.29648460850266e-16,33.762230703200245,1.6832174852522384,56.26793123602384,67.18683909936851,0.5025125628140702,0.973590145811803,0.11926605413885935,0.5994962379775,0.19946911410295506
19,200.0,0.03556480306223128,100.0,28.275342329660198,9.29648460850266e-16,36.69410705244042,1.8176327781315458,56.26793123602384,73.02127303435647,0.5025125628140702,0.9084741046363419,0.11926605413885935,0.7172010123736313,0.16674699189150652
20,200.0,0.04291934260128776,100.0,28.275342329660198,9.29648460850266e-16,39.34593687386266,2.2238318839111777,56.26793123602384,78.29841437898676,0.50251256281407,0.8779904768332394,0.11926605413885935,0.8649158275214976,0.1382335992641324
21,200.0,0.0517947467923121,100.0,28.275342329660198,9.29648460850266e-16,43.58672230416043,2.581904577676173,56.26793123602384,86.7375773852793,0.5025125628140702,0.7891143139170377,0.11926605413885935,1.0413345141653805,0.11473849729330024
22,200.0,0.0625055192527397,100.0,28.275342329660198,9.29648460850266e-16,49.56075843851127,2.9482081520148697,56.26793123602384,98.62590929263749,0.5025125628140701,0.694099962705907,0.11926605413885935,1.2467597014305212,0.09589074962955403
