Res,Noise_Param,Scale_Param,Distances_Classic,Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum
100.0,0.001,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.2264697363433419,0.997236436329466,29.68560744259305,29.75073013517743,6.002668931090088e-07
100.0,0.001,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.22624624685430736,0.9982262219273517,29.68560744259305,29.76746058780433,5.999295201312556e-07
100.0,0.001,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.22632220368227082,0.9978872753418124,29.68560744259305,29.735601876273005,6.005722843705844e-07
100.0,0.001,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.22624596521126325,0.9982159626674963,29.68560744259305,29.714401226976438,6.010007810540922e-07
100.0,0.0015505157798326253,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.2269109904481337,0.9953759567726678,29.68560744259305,29.85591003208093,5.981522025883062e-07
100.0,0.0015505157798326253,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.2269553372935711,0.9951552464009275,29.68560744259305,29.690713252040837,6.014802741304974e-07
100.0,0.0015505157798326253,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.22658458702904696,0.9967798137296502,29.68560744259305,29.687020819858812,6.01555085447353e-07
100.0,0.0015505157798326253,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.22722337461496436,0.9939917694679654,29.68560744259305,29.782297554470357,5.99630646806393e-07
100.0,0.002404099183509972,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.22878911012064354,0.9872813273647592,29.68560744259305,29.723198592368657,6.008228990049745e-07
100.0,0.002404099183509972,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.22796648820982368,0.9908419053891321,29.68560744259305,29.85998829078015,5.980705073310974e-07
100.0,0.002404099183509972,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.22821801579975468,0.989807354116849,29.68560744259305,29.72302099468797,6.00826488974964e-07
100.0,0.002404099183509972,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.22774935489468018,0.9918012325809125,29.68560744259305,29.574044174155198,6.038531031063374e-07
100.0,0.003727593720314938,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.23210058374144654,0.9734566966828143,29.68560744259305,29.811789071570377,5.990374580705028e-07
100.0,0.003727593720314938,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.23173479667457308,0.9750471885204715,29.68560744259305,29.717404607436894,6.009400410929017e-07
100.0,0.003727593720314938,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.2317230912187313,0.9751065058011867,29.68560744259305,30.164091450090204,5.920409827531574e-07
100.0,0.003727593720314938,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.23144158998011982,0.976333374514554,29.68560744259305,29.70529442675577,6.011850308368715e-07
100.0,0.005779692884153313,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.23920820105186053,0.9450687505558022,29.68560744259305,30.204824974536045,5.912425700537212e-07
