Category,image1_index,image2_index,Noise,SNR,Resolution,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,01,02,0.0005590169943749475,100000.0,32,2.3234400541511646,2.3483273396224336,0.9894021225016822,0.0010839462280273437,0.06404417932594936,0.06883582282182098,0.930390263391278,0.0
CauchyDensity,01,03,0.0005590169943749475,100000.0,32,3.6614556083375396,3.6587747202135397,1.000732728393795,0.0018759369850158691,0.06745867166968546,0.07193454459991294,0.937778532482252,0.0
CauchyDensity,01,04,0.0005590169943749475,100000.0,32,2.2629397573267185,2.2932683981117017,0.9867749275183157,0.0016739010810852052,0.05660255376293487,0.061854462437995174,0.91509248535908,0.0
CauchyDensity,01,05,0.0005590169943749475,100000.0,32,5.983522568544517,6.02360012573165,0.9933465774037806,0.001619243621826172,0.0847619745166184,0.08922520585902627,0.9499779092753267,0.0
CauchyDensity,01,06,0.0005590169943749475,100000.0,32,5.367941741557863,5.348069488400698,1.0037157806569763,0.0016565442085266114,0.07968084593076377,0.08311731413571928,0.9586552063106344,2.7060508728027343e-06
CauchyDensity,01,07,0.0005590169943749475,100000.0,32,3.178905448318662,3.187387178476054,0.9973389708615672,0.0015789151191711425,0.06700323016727106,0.07123571416736882,0.9405848028679334,0.0
CauchyDensity,01,08,0.0005590169943749475,100000.0,32,3.197659443713208,3.1684203804538913,1.0092282777372894,0.0014988183975219727,0.06590136046178183,0.06972917268938496,0.945104579905824,0.00015878677368164062
CauchyDensity,01,09,0.0005590169943749475,100000.0,32,2.7863977907456534,2.806798861005354,0.9927315524660029,0.0007773637771606445,0.06348442502333125,0.06841474552597723,0.9279348265532329,1.6129016876220704e-05
CauchyDensity,01,10,0.0005590169943749475,100000.0,32,5.498380079773833,5.52508109543234,0.9951673079186871,0.0013016700744628907,0.08028388518022536,0.08428258150804943,0.9525560767565933,0.0
CauchyDensity,02,03,0.0005590169943749475,100000.0,32,2.1472069372103646,2.168326829171397,0.9902598207627662,0.0010052919387817383,0.038486592102315385,0.046185856216103646,0.8332982271073768,0.0
CauchyDensity,02,04,0.0005590169943749475,100000.0,32,0.9912345266725817,1.030710926855868,0.9616998334307882,0.0010199189186096192,0.03318215615763746,0.04174439990775876,0.7948888049884294,0.0
CauchyDensity,02,05,0.0005590169943749475,100000.0,32,4.349934166183094,4.377156844464475,0.9937807395876601,0.0015000700950622559,0.06288954238714292,0.06812491655548333,0.9231503767923659,0.0
CauchyDensity,02,06,0.0005590169943749475,100000.0,32,3.5710996026636264,3.58202627272655,0.9969495840535512,0.001500093936920166,0.05300967616983977,0.058634558156423724,0.9040688262444472,0.0
CauchyDensity,02,07,0.0005590169943749475,100000.0,32,1.3512120326044121,1.3622846532692743,0.9918720212855003,0.002003049850463867,0.037529623457443505,0.045404688232485835,0.8265583339165419,0.0
CauchyDensity,02,08,0.0005590169943749475,100000.0,32,1.1590490766044845,1.1948936652255127,0.9700018590237792,0.0005060195922851563,0.03480384345739053,0.04311147180073113,0.8072988929317947,0.0
CauchyDensity,02,09,0.0005590169943749475,100000.0,32,1.3589432050478067,1.406332035482726,0.9663032418808173,0.0012562274932861328,0.03773602605989734,0.045897435841697434,0.8221815743705334,0.0
CauchyDensity,02,10,0.0005590169943749475,100000.0,32,3.7614318313701487,3.749331033727721,1.0032274551202796,0.0014000058174133301,0.0534083831693969,0.05892313647547985,0.9064076755591949,0.0
CauchyDensity,03,04,0.0005590169943749475,100000.0,32,1.6000459439786945,1.6511546532840726,0.9690466854793249,0.001616835594177246,0.02513135922011104,0.035699594208699344,0.703967643811116,0.0
CauchyDensity,03,05,0.0005590169943749475,100000.0,32,3.497983734271409,3.4922183016374513,1.0016509370652042,0.001352071762084961,0.04855285347562155,0.054345192864744464,0.8934157910978617,0.0
CauchyDensity,03,06,0.0005590169943749475,100000.0,32,2.649904418383409,2.681888589635773,0.9880740119571083,0.0013005852699279786,0.036629020158886506,0.0446229569606094,0.8208559596626578,4.9996376037597654e-05
