Category,image1_index,image2_index,Noise,SNR,Resolution,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,01,02,0.001,1024000.0,32,2.3234400541511646,2.3234472886651036,0.9999968863016715,0.0013112783432006835,0.06404417932594936,0.06404435300264721,0.9999972881809291,0.0
CauchyDensity,01,03,0.001,1024000.0,32,3.6614556083375396,3.6615067244511805,0.9999860395958583,0.0014454841613769532,0.06745867166968546,0.06745946941879748,0.9999881743939154,0.0
CauchyDensity,01,04,0.001,1024000.0,32,2.2629397573267185,2.2629989485915423,0.9999738438831973,0.0009518861770629883,0.05660255376293487,0.05660320963404365,0.9999884128283003,0.0
CauchyDensity,01,05,0.001,1024000.0,32,5.983522568544517,5.983516645479502,1.000000989896973,0.0015118956565856934,0.0847619745166184,0.08476179569417319,1.00000210970572,0.0
CauchyDensity,01,06,0.001,1024000.0,32,5.367941741557863,5.3679356319629274,1.0000011381647163,0.0010842680931091309,0.07968084593076377,0.07968077836379106,1.0000008479707916,0.0
CauchyDensity,01,07,0.001,1024000.0,32,3.178905448318662,3.1789067844078653,0.999999579701673,0.001505875587463379,0.06700323016727106,0.06700332115036972,0.9999986421106133,0.0
CauchyDensity,01,08,0.001,1024000.0,32,3.197659443713208,3.197683518725927,0.9999924711083577,0.0009995579719543457,0.06590136046178183,0.06590201402253411,0.9999900828409879,0.0
CauchyDensity,01,09,0.001,1024000.0,32,2.7863977907456534,2.786392521920125,1.0000018909128872,0.0010052084922790526,0.06348442502333125,0.06348423764697746,1.0000029515413706,0.0
CauchyDensity,01,10,0.001,1024000.0,32,5.498380079773833,5.4982820980417975,1.0000178204265056,0.0013872027397155763,0.08028388518022536,0.08028265962189943,1.0000152655421695,0.0
CauchyDensity,02,03,0.001,1024000.0,32,2.1472069372103646,2.1472125186400683,0.9999974006160753,0.0009999871253967285,0.038486592102315385,0.03848696192059323,0.9999903910763701,0.0
CauchyDensity,02,04,0.001,1024000.0,32,0.9912345266725817,0.9912199223279352,1.000014733707745,0.0014136672019958497,0.03318215615763746,0.03318165072074997,1.0000152324214293,0.0
CauchyDensity,02,05,0.001,1024000.0,32,4.349934166183094,4.349928098187705,1.0000013949645263,0.0010688066482543944,0.06288954238714292,0.06288941075871118,1.0000020930142317,0.0
CauchyDensity,02,06,0.001,1024000.0,32,3.5710996026636264,3.571100180987778,0.9999998380543468,0.0005361676216125488,0.05300967616983977,0.053009980398137424,0.9999942609241624,0.0005045652389526368
CauchyDensity,02,07,0.001,1024000.0,32,1.3512120326044121,1.3512242866473714,0.999990931155486,0.0014806628227233888,0.037529623457443505,0.037529712751297274,0.9999976207157683,0.0
CauchyDensity,02,08,0.001,1024000.0,32,1.1590490766044845,1.1590624949662316,0.9999884230903809,0.0004997849464416504,0.03480384345739053,0.03480424993749752,0.9999883209634536,0.0
