Category,image1_index,image2_index,Noise,SNR,Resolution,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,01,02,0.0005590169943749475,100000.0,32,2.3234400541511646,2.339947807569008,0.9929452471698531,0.0017871379852294922,0.06404417932594936,0.0687616409019039,0.9313939935976147,0.0
CauchyDensity,01,03,0.0005590169943749475,100000.0,32,3.6614556083375396,3.667779251446253,0.9982758932107978,0.0017140984535217285,0.06745867166968546,0.07165072122543667,0.9414932678407849,5.003213882446289e-05
CauchyDensity,01,04,0.0005590169943749475,100000.0,32,2.2629397573267185,2.266370752279191,0.998486128119584,0.0014709115028381347,0.05660255376293487,0.06161074334454299,0.9187123980374486,4.992485046386719e-05
CauchyDensity,01,05,0.0005590169943749475,100000.0,32,5.983522568544517,5.993421971598312,0.9983482886570133,0.0017796754837036133,0.0847619745166184,0.08845369418886694,0.9582638158179584,4.984140396118164e-05
CauchyDensity,01,06,0.0005590169943749475,100000.0,32,5.367941741557863,5.3877169576431605,0.9963295740587776,0.0019504308700561523,0.07968084593076377,0.0839241284722369,0.9494390633692805,0.0
CauchyDensity,01,07,0.0005590169943749475,100000.0,32,3.178905448318662,3.1864146182972837,0.9976433795101548,0.0015698075294494629,0.06700323016727106,0.0715648362812992,0.936259113398962,0.0
CauchyDensity,01,08,0.0005590169943749475,100000.0,32,3.197659443713208,3.209113116602283,0.9964308915040049,0.0019261717796325683,0.06590136046178183,0.07044920067534442,0.9354451126490321,0.0
CauchyDensity,01,09,0.0005590169943749475,100000.0,32,2.7863977907456534,2.825416194011417,0.9861902103667188,0.0017435789108276368,0.06348442502333125,0.06854541233768241,0.9261659220982041,0.0
CauchyDensity,01,10,0.0005590169943749475,100000.0,32,5.498380079773833,5.512248428546631,0.997484084951437,0.0020505547523498534,0.08028388518022536,0.08464336159205807,0.9484959442792056,0.0
CauchyDensity,02,03,0.0005590169943749475,100000.0,32,2.1472069372103646,2.177294805016459,0.986181077667217,0.001927351951599121,0.038486592102315385,0.04616088943356418,0.8337489284669477,5.009174346923828e-05
CauchyDensity,02,04,0.0005590169943749475,100000.0,32,0.9912345266725817,1.0382669214830682,0.9547010563109292,0.002402198314666748,0.03318215615763746,0.04197376671167391,0.7905451132268458,0.00015100240707397461
CauchyDensity,02,05,0.0005590169943749475,100000.0,32,4.349934166183094,4.414421337008081,0.985391704619502,0.00200730562210083,0.06288954238714292,0.06831122973040873,0.9206325612251077,0.0
CauchyDensity,02,06,0.0005590169943749475,100000.0,32,3.5710996026636264,3.5769061229338233,0.9983766640580899,0.0015346288681030273,0.05300967616983977,0.058808100931824384,0.9014009180689806,5.0067901611328125e-05
CauchyDensity,02,07,0.0005590169943749475,100000.0,32,1.3512120326044121,1.3983790286056084,0.9662702350104401,0.0014629125595092773,0.037529623457443505,0.04550371558922035,0.8247595382372274,0.0
CauchyDensity,02,08,0.0005590169943749475,100000.0,32,1.1590490766044845,1.2134472668752918,0.9551705362435021,0.0019405484199523926,0.03480384345739053,0.043282425292585865,0.8041102877696715,4.993677139282226e-05
CauchyDensity,02,09,0.0005590169943749475,100000.0,32,1.3589432050478067,1.4096673499917804,0.9640169399225502,0.0016348719596862792,0.03773602605989734,0.04494369173103526,0.8396289803189273,0.0
CauchyDensity,02,10,0.0005590169943749475,100000.0,32,3.7614318313701487,3.7753045146487225,0.9963254134269843,0.0020264267921447756,0.0534083831693969,0.058993940825393054,0.9053198077997879,0.0
CauchyDensity,03,04,0.0005590169943749475,100000.0,32,1.6000459439786945,1.653050910605327,0.9679350670408434,0.0019159317016601562,0.02513135922011104,0.03568903060310682,0.7041760113799026,4.1604042053222655e-06
CauchyDensity,03,05,0.0005590169943749475,100000.0,32,3.497983734271409,3.485098386533803,1.003697269433596,0.0015563249588012695,0.04855285347562155,0.0545592547215389,0.8899104968245444,0.0
CauchyDensity,03,06,0.0005590169943749475,100000.0,32,2.649904418383409,2.669356735526622,0.9927127322907722,0.0015218138694763183,0.036629020158886506,0.04449316404191296,0.8232505138178449,0.0
CauchyDensity,03,07,0.0005590169943749475,100000.0,32,1.7473874668648177,1.7866267118593495,0.978037244862585,0.0018168807029724122,0.030557560355680465,0.03962674432047296,0.7711347697038299,0.0
CauchyDensity,03,08,0.0005590169943749475,100000.0,32,1.6708756558541171,1.7070836135253078,0.9787895816090593,0.0018299579620361327,0.02719852794504559,0.03699195144865302,0.7352552887835271,0.0
CauchyDensity,03,09,0.0005590169943749475,100000.0,32,2.5448779931473604,2.589760138822942,0.9826693812284945,0.001600193977355957,0.03571069390715271,0.04418351146073225,0.8082357586922512,0.0
CauchyDensity,03,10,0.0005590169943749475,100000.0,32,2.69526580385011,2.7169855448537046,0.9920059416419295,0.0015499114990234375,0.03544895196093497,0.0437493279838949,0.8102742052171525,0.0
CauchyDensity,04,05,0.0005590169943749475,100000.0,32,4.338140601678552,4.358929086378169,0.9952308275065584,0.0014931082725524903,0.04969982298044593,0.055835914015733346,0.890104941533537,0.0
CauchyDensity,04,06,0.0005590169943749475,100000.0,32,3.584767710924155,3.5712425068598392,1.0037872544466906,0.0016463518142700196,0.040394760625536805,0.04730326723059751,0.8539528660592809,5.0067901611328125e-05
CauchyDensity,04,07,0.0005590169943749475,100000.0,32,1.3990349116424676,1.4552661360667876,0.9613601780246886,0.002322840690612793,0.02008897352960519,0.032730283492291685,0.6137732822979167,0.0
