Noise_Param,Distances_Classic,Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear
0.001,33.94112549695427,33.97997594953302,0.998857584261935,2.828427124746192,2.8284657480594224,0.9999865926476744
0.04857142857142857,33.94112549695427,35.772414605970134,0.950429129456641,2.828427124746192,2.9112639269321523,0.9720210084589476
0.09614285714285714,33.94112549695427,37.253414207858604,0.9173852190002971,2.828427124746192,3.1413713109243964,0.9018088070898237
0.1437142857142857,33.94112549695427,40.29659064306088,0.8572301235028088,2.828427124746192,3.4949568496764583,0.8120604115476062
0.19128571428571428,33.94112549695427,41.25019008717238,0.8445092029143584,2.828427124746192,3.903363757826386,0.7277808128425498
0.23885714285714285,33.94112549695427,44.701577109080944,0.7822620490184292,2.828427124746192,4.486399552494762,0.6325598466814728
0.2864285714285714,33.94112549695427,46.342381972497485,0.7537247615780507,2.828427124746192,4.937379325038864,0.5748075588569654
0.33399999999999996,33.94112549695427,47.373556802859866,0.7424897774836867,2.828427124746192,5.429500611014596,0.5234239100566563
0.38157142857142856,33.94112549695427,50.602527791313996,0.6958328315235549,2.828427124746192,6.023989371774236,0.47182005080576417
0.42914285714285716,33.94112549695427,55.53604702449294,0.6387957452656727,2.828427124746192,6.747137037495805,0.42134075906280466
0.4767142857142857,33.94112549695427,60.04103221173377,0.589297651572322,2.828427124746192,7.3251795404138855,0.3881699648880578
0.5242857142857142,33.94112549695427,61.63460215794194,0.5729550423117713,2.828427124746192,7.909265469543069,0.3593338470082524
0.5718571428571428,33.94112549695427,66.49380735605979,0.534836127336649,2.828427124746192,8.580498172644393,0.3309374751493291
0.6194285714285714,33.94112549695427,69.05545522313292,0.5104038428200894,2.828427124746192,9.151740120169507,0.3106451662475397
0.6669999999999999,33.94112549695427,73.47565470787235,0.4806892709314667,2.828427124746192,9.822227389457078,0.28922900871919505
0.7145714285714285,33.94112549695427,77.04118536715487,0.45543937259962924,2.828427124746192,10.469751809015241,0.27136500434349137
0.7621428571428571,33.94112549695427,80.50031418343342,0.43556950058614113,2.828427124746192,11.085353258661298,0.25619616566413933
0.8097142857142857,33.94112549695427,84.5581702157418,0.4123586975583627,2.828427124746192,11.81800558950473,0.24034826385733324
0.8572857142857143,33.94112549695427,88.78941906414234,0.3965550684256932,2.828427124746192,12.328288175760953,0.23057446940219353
0.9048571428571428,33.94112549695427,95.64451742427785,0.36476340107039884,2.828427124746192,13.080002435344106,0.21723746919455042
0.9524285714285714,33.94112549695427,99.73006926906731,0.3521098417802341,2.828427124746192,13.881065804702928,0.20469374410573402
1.0,33.94112549695427,102.43028408579346,0.34423549335974324,2.828427124746192,14.383308697151094,0.19791160837511018
0.001,271.52900397563417,271.6608867354785,0.9995147615979769,5.656854249492384,5.656744342750103,1.0000194921673506
0.04857142857142857,271.52900397563417,278.4361000725385,0.9758488416124032,5.656854249492384,5.822312179844735,0.9717212448620038
0.09614285714285714,271.52900397563417,286.7845426604314,0.9485001930258079,5.656854249492384,6.277325402822422,0.9014935375054745
0.1437142857142857,271.52900397563417,292.52128321494655,0.9335440392850016,5.656854249492384,7.0012442295861295,0.8085348837185223
0.19128571428571428,271.52900397563417,301.33243331053427,0.9098721533882957,5.656854249492384,7.805481525466482,0.7255041855134202
0.23885714285714285,271.52900397563417,314.9502157760094,0.8707138216495832,5.656854249492384,8.810535280036275,0.642615469294133
0.2864285714285714,271.52900397563417,318.7078092677827,0.864630375099559,5.656854249492384,9.874636942801148,0.5735987135044461
0.33399999999999996,271.52900397563417,328.0830782141933,0.8429546746929604,5.656854249492384,10.998062149521964,0.5150530650923962
0.38157142857142856,271.52900397563417,330.5575527180237,0.8402511293305109,5.656854249492384,12.229416898886972,0.46309464418670215
0.42914285714285716,271.52900397563417,345.185523689382,0.8036931775375779,5.656854249492384,13.422865397677787,0.4219496219413221
0.4767142857142857,271.52900397563417,360.70410291775625,0.7847006832476237,5.656854249492384,14.586210091180455,0.3882836367096666
0.5242857142857142,271.52900397563417,361.81845054718,0.7751866826648659,5.656854249492384,15.848681911491255,0.35746875494046404
0.5718571428571428,271.52900397563417,379.56387460737153,0.7392218943061237,5.656854249492384,17.167342732675145,0.32989242845375616
0.6194285714285714,271.52900397563417,391.77151639868373,0.7164472366172141,5.656854249492384,18.341456503069644,0.3087250009391171
0.6669999999999999,271.52900397563417,402.0924343368167,0.7036623171335389,5.656854249492384,19.73874283911015,0.2869332257229257
0.7145714285714285,271.52900397563417,406.77814503916824,0.6909960930654018,5.656854249492384,20.853445893419774,0.27164880643371647
0.7621428571428571,271.52900397563417,442.4326795902301,0.6360312848778686,5.656854249492384,22.407143131435657,0.2526926340142847
0.8097142857142857,271.52900397563417,452.6923894912495,0.6206735404677812,5.656854249492384,23.617828771326458,0.23986012715284274
0.8572857142857143,271.52900397563417,472.686959785942,0.5913428621206663,5.656854249492384,24.986430226859497,0.2267948288966122
0.9048571428571428,271.52900397563417,469.3481804914923,0.5945888687851548,5.656854249492384,26.165023020080074,0.21644500322787352
0.9524285714285714,271.52900397563417,497.407768338265,0.5609984095477456,5.656854249492384,27.50057639329274,0.20592664734463678
1.0,271.52900397563417,508.85775261143993,0.5567606990837085,5.656854249492384,28.893211720247532,0.19602547999599715
0.001,4242.640687119286,4243.686510242089,0.9997536022112554,14.142135623730956,14.14232369750967,0.9999867103246909
0.04857142857142857,4242.640687119286,4287.470848988156,0.9896414025270317,14.142135623730956,14.549260491282745,0.9720485519899674
