Res,Noise_Param,Scale_Param,Signal_Power,Noise_Power,SNR,Distances_Classic,CI_Distances_Classic,Distances_Noised,CI_Distances_Noised,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear
100.0,0.16883516408617952,1.0,0.02850531263200717,2.826485200028344,0.01,0.08993543984863753,2.03374641975993e-18,0.08885965934953026,0.01253339816254931,29.685607442593046,85.3590209051145,0.0010410107614555126,1.8669394384741964,0.22583566605004265,2.409622977234177,0.09421062710125902
100.0,0.15047449838177235,1.0,0.02850531263200717,2.2801634828119224,0.012589254117941675,0.08993543984863753,2.03374641975993e-18,0.07710861640221181,0.009558587428829462,29.685607442593046,74.9465857899359,0.0010288476198013312,2.2147877141968646,0.22583566605004265,2.1465697398821546,0.10571728016185937
100.0,0.1341105378479594,1.0,0.02850531263200717,1.7805447466601863,0.015848931924611134,0.08993543984863753,2.03374641975993e-18,0.07106808035842004,0.009323227530207713,29.685607442593046,67.61276808979969,0.001051104434358185,2.4466136081462384,0.22583566605004265,1.9013472864048702,0.11940651453179552
100.0,0.11952614267061497,1.0,0.02850531263200717,1.4422537727266265,0.0199526231496888,0.08993543984863753,2.03374641975993e-18,0.06732080088458732,0.008714054357958478,29.685607442593046,61.309070086927065,0.0010980561406189414,2.7658098996168885,0.22583566605004265,1.6988960601969538,0.13360611079498785
100.0,0.10652778678669353,1.0,0.02850531263200717,1.1306454743628374,0.025118864315095794,0.08993543984863753,2.03374641975993e-18,0.06372881277616334,0.008307458617268252,29.685607442593046,57.443504022516265,0.001109417224116123,2.6422642896518336,0.22583566605004265,1.5280352107239537,0.14859527508448456
100.0,0.09494298991095222,1.0,0.02850531263200717,0.9143992279233268,0.03162277660168379,0.08993543984863753,2.03374641975993e-18,0.05745644256375396,0.0075994006158373395,29.685607442593046,50.612453268411755,0.0011352234253306523,3.0894047041500836,0.22583566605004265,1.3511331919227831,0.16792962374205864
100.0,0.08461802882735889,1.0,0.02850531263200717,0.7130635279841249,0.039810717055349734,0.08993543984863753,2.03374641975993e-18,0.06462236426210848,0.00829373467324894,29.685607442593046,51.10451650442952,0.0012645137589063638,2.8063471223722276,0.22583566605004265,1.2061176938318,0.18816650123838535
100.0,0.07541589757541192,1.0,0.02850531263200717,0.5696038804984928,0.05011872336272725,0.08993543984863753,2.03374641975993e-18,0.0548064743726642,0.005891034012789003,29.685607442593046,44.96545854170003,0.0012188572328654852,2.922420391128,0.22583566605004265,1.0903564485615271,0.20806536031121708
100.0,0.06721448946428435,1.0,0.02850531263200717,0.45846076323276624,0.06309573444801933,0.08993543984863753,2.03374641975993e-18,0.056606885157247315,0.005670346697688927,29.685607442593046,43.74474460524993,0.0012940271035541437,2.6240000185272767,0.22583566605004265,0.9828876442534369,0.23103691274871005
100.0,0.059904976791224196,1.0,0.02850531263200717,0.36089626162375793,0.07943282347242814,0.08993543984863753,2.03374641975993e-18,0.057524755535867694,0.006185255188320106,29.685607442593046,41.0251307332761,0.0014021833570711452,2.6375967145846864,0.22583566605004265,0.8670600873964963,0.26175617453085814
100.0,0.05339036676405881,1.0,0.02850531263200717,0.28272448989179727,0.1,0.08993543984863753,2.03374641975993e-18,0.05955057421513429,0.006075980735231494,29.685607442593046,40.03820516749375,0.0014873437499511655,2.670324318053554,0.22583566605004265,0.7828195984989015,0.2899539664266624
100.0,0.04758421446577216,1.0,0.02850531263200717,0.22643002317750008,0.12589254117941676,0.08993543984863753,2.03374641975993e-18,0.06347977176140428,0.006607398339810514,29.685607442593046,39.316208580519316,0.0016145954570211966,2.549531047092327,0.22583566605004265,0.7066008376658937,0.32129500634719144
100.0,0.042409475782976776,1.0,0.02850531263200717,0.17829379600393253,0.15848931924611143,0.08993543984863753,2.03374641975993e-18,0.0595191679075271,0.004700783749485392,29.685607442593046,36.7774888645166,0.0016183586684449238,2.2330222183567945,0.22583566605004265,0.64189284232881,0.3534918806387442
100.0,0.03779748507733842,1.0,0.02850531263200717,0.1434434558482198,0.19952623149688797,0.08993543984863753,2.03374641975993e-18,0.0612812716009265,0.005159073461884368,29.685607442593046,35.52733083462683,0.0017249050283619535,2.1027079380112705,0.22583566605004265,0.5804699959834048,0.39082150574838115
100.0,0.03368704403427411,1.0,0.02850531263200717,0.1140721617206399,0.25118864315095807,0.08993543984863753,2.03374641975993e-18,0.062149398897004125,0.0045689189364259844,29.685607442593046,34.20196217706039,0.001817129630611906,1.9466849299279325,0.22583566605004265,0.5281602255900212,0.4299947386595406
100.0,0.030023609598499604,1.0,0.02850531263200717,0.09094045720634099,0.31622776601683794,0.08993543984863753,2.03374641975993e-18,0.066242959012864,0.0049143116941631985,29.685607442593046,34.25048539363327,0.0019340735832368008,1.7674972625324465,0.22583566605004265,0.4806121230254131,0.4719925453962397
100.0,0.026758570220824097,1.0,0.02850531263200717,0.07119146030930568,0.3981071705534973,0.08993543984863753,2.03374641975993e-18,0.06656175344575727,0.00409057950801502,29.685607442593046,33.10135109251968,0.0020108470273528817,1.6332351463002521,0.22583566605004265,0.4375426263508071,0.5185834005811077
100.0,0.02384860081242718,1.0,0.02850531263200717,0.056554622190242106,0.5011872336272725,0.08993543984863753,2.03374641975993e-18,0.07134562316212778,0.003981582985306226,29.685607442593046,33.31843787962361,0.0021413255753433827,1.4799928283915154,0.22583566605004265,0.40606714366329705,0.5585369578530062
