Res,Noise_Param,Scale_Param,Distances_Classic,Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear,CI_Distances_Classic,CI_Distances_Noised,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum
100.0,0.001,100.0,0.2998546206322528,0.30003685884780323,0.9995462108929313,0.2258356660500426,0.22645912663585882,0.9972814238493375,1.1610968010709708e-17,0.000776844198012795,29.68560744259305,29.70364902593253,0.010101010101010097
100.0,0.001,200.0,0.2998546206322528,0.3002613886789609,0.9988470065209648,0.2258356660500426,0.2262251940052394,0.9983114649673175,1.1610968010709708e-17,0.0008919130945179696,29.68560744259305,29.72587747921713,0.010101010101010102
100.0,0.001,500.0,0.29985462063225293,0.30043340918190387,0.9982651903235557,0.2258356660500426,0.2263655217064726,0.9976930942040376,1.1610968010709708e-17,0.0008710243783973935,29.68560744259305,29.742907509008493,0.010101010101010098
100.0,0.001,1000.0,0.29985462063225293,0.2998574288423845,1.0001599865596682,0.2258356660500426,0.2265121745141493,0.9970478033936518,1.1610968010709708e-17,0.0008138397328090411,29.68560744259305,29.685885455396075,0.010101010101010097
100.0,0.0015505157798326253,100.0,0.2998546206322528,0.30054174500023184,0.9981764680158848,0.2258356660500426,0.22682262462788358,0.995753703700354,1.1610968010709708e-17,0.0013523103137040213,29.68560744259305,29.753632755022956,0.0101010101010101
100.0,0.0015505157798326253,200.0,0.2998546206322528,0.30099014274361874,0.996666631346644,0.2258356660500426,0.22716745427418852,0.9942212854047717,1.1610968010709708e-17,0.00133077762548367,29.68560744259305,29.798024131618263,0.010101010101010098
100.0,0.0015505157798326253,500.0,0.29985462063225293,0.30142710818342294,0.9951866030134627,0.2258356660500426,0.2267497616853629,0.9960580094543472,1.1610968010709708e-17,0.0012752143493744887,29.68560744259305,29.841283710158873,0.0101010101010101
100.0,0.0015505157798326253,1000.0,0.29985462063225293,0.3009632848028596,0.9967237236191268,0.2258356660500426,0.22717536688554898,0.9941918647212219,1.1610968010709708e-17,0.0012719960970296355,29.68560744259305,29.795365195483104,0.0101010101010101
100.0,0.002404099183509972,100.0,0.2998546206322528,0.3016133419400376,0.9950225140166027,0.2258356660500426,0.22885372339211457,0.9870534204470064,1.1610968010709708e-17,0.0018321447124139223,29.68560744259305,29.859720852063724,0.0101010101010101
100.0,0.002404099183509972,200.0,0.2998546206322528,0.3020702680197039,0.9935860382237602,0.2258356660500426,0.22885766485589706,0.9869864998299012,1.1610968010709708e-17,0.0019183302174117965,29.68560744259305,29.904956533950685,0.0101010101010101
100.0,0.002404099183509972,500.0,0.29985462063225293,0.3008686469531164,0.9974035563942979,0.2258356660500426,0.2285596805217247,0.9882699147052635,1.1610968010709708e-17,0.0017584494402945795,29.68560744259305,29.785996048358534,0.010101010101010097
100.0,0.002404099183509972,1000.0,0.29985462063225293,0.3012807554475506,0.9963080715001194,0.2258356660500426,0.22853768343591468,0.9884687141224389,1.1610968010709708e-17,0.0020477925217060604,29.68560744259305,29.82679478930752,0.010101010101010098
100.0,0.003727593720314938,100.0,0.2998546206322528,0.3020900288525303,0.994522735143477,0.2258356660500426,0.2323930183598185,0.9722538924481965,1.1610968010709708e-17,0.002765847750113857,29.68560744259305,29.906912856400503,0.0101010101010101
100.0,0.003727593720314938,200.0,0.2998546206322528,0.3013573587018458,0.9971841730647613,0.2258356660500426,0.23200351231174743,0.973916373323803,1.1610968010709708e-17,0.0029425394093524227,29.68560744259305,29.834378511482747,0.010101010101010097
100.0,0.003727593720314938,500.0,0.29985462063225293,0.3014469697096778,0.9970108773768612,0.2258356660500426,0.23214922372066393,0.9732925466177821,1.1610968010709708e-17,0.003038909970389933,29.68560744259305,29.843250001258117,0.010101010101010097
100.0,0.003727593720314938,1000.0,0.29985462063225293,0.30242375095978974,0.993727202550477,0.2258356660500426,0.2318818024549587,0.9744596771583782,1.1610968010709708e-17,0.00301441568658252,29.68560744259305,29.93995134501919,0.0101010101010101
100.0,0.005779692884153313,100.0,0.2998546206322528,0.30536401970649424,0.9877750360476172,0.2258356660500426,0.2411013751308815,0.937435094699449,1.1610968010709708e-17,0.004881499806662984,29.68560744259305,30.231037950942934,0.0101010101010101
100.0,0.005779692884153313,200.0,0.2998546206322528,0.30311156753225715,0.9934352515165463,0.2258356660500426,0.2394110561062557,0.9443681979349502,1.1610968010709708e-17,0.004040498360123791,29.68560744259305,30.008045185693458,0.010101010101010102
100.0,0.005779692884153313,500.0,0.29985462063225293,0.30269389953203385,0.9958498461278653,0.2258356660500426,0.2398928982629332,0.9422326428694062,1.1610968010709708e-17,0.004629798907944159,29.68560744259305,29.966696053671367,0.010101010101010095
100.0,0.005779692884153313,1000.0,0.29985462063225293,0.3031367124875263,0.9940412751803004,0.2258356660500426,0.23885373063472198,0.9463420031115723,1.1610968010709708e-17,0.004482488566675133,29.68560744259305,30.010534536265112,0.010101010101010098
100.0,0.00896150501946605,100.0,0.2998546206322528,0.30931077754799247,0.9790137888784097,0.2258356660500426,0.2592065166277435,0.8734061894546405,1.1610968010709708e-17,0.006442288412989941,29.68560744259305,30.621766977251255,0.0101010101010101
100.0,0.00896150501946605,200.0,0.2998546206322528,0.30852897556933884,0.9823660077869946,0.2258356660500426,0.2589021080976147,0.8741035234421323,1.1610968010709708e-17,0.006720372350393621,29.68560744259305,30.54436858136454,0.010101010101010102
