SNR,Noise_Param,Im_Size,Distances_Classic,Distances_Noised,CI_Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,CI_Distances_Linear_Noised,Ratios_Linear
1000.0,0.02,10.0,33.94112549695429,34.91183049753022,0.26788919949546725,0.972554298594996,2.8284271247461894,2.850777952270635,0.011985553356359112,0.9922699576553616
681.2920690579615,0.024230553172571764,10.0,33.94112549695429,34.953592369384474,0.32870087005476706,0.9715648303756474,2.8284271247461894,2.856429661724071,0.012756381742272003,0.9903202986768485
464.15888336127773,0.029355985352441393,10.0,33.94112549695429,34.937875150246846,0.3256471132438328,0.9719973808627419,2.8284271247461894,2.86105964933004,0.014164742283864383,0.9887459528834799
316.22776601683796,0.03556558820077845,10.0,33.94112549695429,35.48750186934743,0.46550475140420866,0.9574798307447199,2.8284271247461894,2.8893497599457114,0.014482034198014089,0.9790690508663559
215.44346900318845,0.043088693800637665,10.0,33.94112549695429,35.47500672227588,0.6009618111218942,0.9585292781163635,2.8284271247461894,2.8755461609842974,0.023098040845068165,0.9840096481024377
146.77992676220705,0.052203144313650716,10.0,33.94112549695429,35.614524220223565,0.7760754925959514,0.9557810969399644,2.8284271247461894,2.915983793015976,0.0304479088975886,0.9706401593349523
100.0,0.06324555320336758,10.0,33.94112549695429,36.12880005910198,1.1131483134258189,0.9452227082675139,2.8284271247461894,2.947870143622284,0.03578588848482851,0.960367407015143
68.12920690579615,0.07662373699114573,10.0,33.94112549695429,37.546975766817745,0.9691679162067802,0.907891777549467,2.8284271247461894,3.062645078538723,0.03894086219189289,0.9244694578524836
46.4158883361278,0.09283177667225558,10.0,33.94112549695429,37.46164316563482,1.1938280209918772,0.9117266444621949,2.8284271247461894,3.1081397583873294,0.04097930136781611,0.9110161169661066
31.622776601683793,0.11246826503806981,10.0,33.94112549695429,38.20411308877586,1.3441203620489721,0.8953177546371179,2.8284271247461894,3.241952995904066,0.05312591449390824,0.873918862666198
21.544346900318846,0.13625841381159223,10.0,33.94112549695429,39.87307786262033,2.045310188981742,0.8648519696289052,2.8284271247461894,3.422055362187377,0.05660852059297495,0.82797032688321
14.677992676220699,0.16508083705360369,10.0,33.94112549695429,40.7751963449692,2.0542200866089124,0.846264144535938,2.8284271247461894,3.7317362910944136,0.07938272050302102,0.7601000911595986
10.0,0.2,10.0,33.94112549695429,40.152410278390555,2.5188721987016285,0.8662085112384272,2.8284271247461894,3.941234745335946,0.06608522475836436,0.7189084726823582
6.812920690579615,0.24230553172571764,10.0,33.94112549695429,42.10265702181383,3.095027281859328,0.8342890857168236,2.8284271247461894,4.464366725575231,0.1049605791853265,0.6359183221139266
4.641588833612782,0.2935598535244138,10.0,33.94112549695429,45.84662558479247,3.7225081035861156,0.7698113333325888,2.8284271247461894,5.043159424796221,0.12809524314726015,0.5631291233122934
3.1622776601683795,0.35565588200778453,10.0,33.94112549695429,48.85532617146992,3.8575178515152193,0.7217552757177802,2.8284271247461894,5.880031579828459,0.13768318733653034,0.4827684069333865
2.1544346900318843,0.4308869380063767,10.0,33.94112549695429,60.06765094934399,5.535161012853099,0.5954819082306301,2.8284271247461894,6.641397023712405,0.16697761443249723,0.42757119895024165
1.4677992676220706,0.5220314431365072,10.0,33.94112549695429,60.716604279358116,4.12988331529356,0.5748079015979468,2.8284271247461894,7.834563472027731,0.19689338513165916,0.36249178835291984
1.0,0.6324555320336759,10.0,33.94112549695429,67.20359753345322,4.925242026748677,0.522608838839164,2.8284271247461894,9.2334377028379,0.31874509587091276,0.3085720243787138
0.6812920690579615,0.7662373699114574,10.0,33.94112549695429,74.41748291880023,4.504858539885831,0.46619557877200285,2.8284271247461894,11.039656999376767,0.33342632907031605,0.25767567846195594
0.4641588833612782,0.9283177667225555,10.0,33.94112549695429,90.63174865649074,5.00298482652146,0.38161729242619796,2.8284271247461894,13.412514776362901,0.4129458061314041,0.2121172732661421
0.31622776601683794,1.1246826503806981,10.0,33.94112549695429,108.84352317779566,6.680684993235152,0.3188580804734421,2.8284271247461894,15.924461972631299,0.6084006626113884,0.17921046985271463
0.21544346900318845,1.3625841381159223,10.0,33.94112549695429,133.829362631924,8.04605412217327,0.25948231903501434,2.8284271247461894,19.321958197963404,0.4926250486906487,0.1469949200032457
0.14677992676220705,1.6508083705360364,10.0,33.94112549695429,171.64311194504052,14.999503520669053,0.20643574559847364,2.8284271247461894,23.808891203487928,0.7807711569888224,0.11959454472560903
0.1,2.0,10.0,33.94112549695429,207.26179085474038,15.73760359823003,0.16977713242824322,2.8284271247461894,28.458381162599306,0.7547362632754853,0.0998290058682864
0.06812920690579623,2.4230553172571754,10.0,33.94112549695429,236.22245744681393,11.52590442173933,0.14597746310296214,2.8284271247461894,34.602848633355244,1.0629187440591887,0.08223421326254939
0.04641588833612782,2.935598535244138,10.0,33.94112549695429,284.3463610996169,22.80885507126107,0.1245163467964097,2.8284271247461894,41.42164557094794,1.3954082518541318,0.06878890445531192
0.03162277660168379,3.5565588200778455,10.0,33.94112549695429,342.83230396962847,24.589690437750978,0.10196726566271418,2.8284271247461894,50.319782165651205,1.701669215723126,0.056621894312385034
0.021544346900318867,4.308869380063764,10.0,33.94112549695429,412.25045377622484,30.175473989179114,0.08459155575731732,2.8284271247461894,61.359486462709,1.889633965288933,0.04638362960329619
0.014677992676220705,5.220314431365072,10.0,33.94112549695429,486.95567552537585,31.358505029233534,0.07126685300299278,2.8284271247461894,72.50329425741887,1.8825956238672454,0.03918248714195303
