Res,Noise_Param,Scale_Param,Distances_Classic,Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear,CI_Distances_Classic,CI_Distances_Noised,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum
100.0,0.001,100.0,29.985462063225278,30.025661604731127,0.9988329847998278,0.2258356660500426,0.22637641943230996,0.9976488915164425,1.4862039053708426e-15,0.08248781610479608,29.68560744259305,29.725404988683817,1.0101010101010102
100.0,0.001,200.0,59.970924126450555,60.05741335645521,0.9987101790887362,0.2258356660500426,0.22622487478855655,0.9983156828632967,2.972407810741685e-15,0.15420291356901897,29.68560744259305,29.728419611445332,2.02020202020202
100.0,0.001,300.0,89.95638618967574,89.93413457550679,1.0003744647978008,0.2258356660500426,0.22630240124415996,0.9979770421083303,8.917223432225056e-15,0.2119255457765432,29.685607442593046,29.67826440991725,3.0303030303030294
100.0,0.001,400.0,119.94184825290111,120.14964581726808,0.9984225948729292,0.2258356660500426,0.22656687258465827,0.9968056504988762,5.94481562148337e-15,0.3099797743874024,29.68560744259305,29.737037339773853,4.04040404040404
100.0,0.001,500.0,149.92731031612638,150.07619358130998,0.9991729984821943,0.2258356660500426,0.22621735626711914,0.9983614360854937,5.94481562148337e-15,0.40347604483803207,29.68560744259305,29.715086329099385,5.050505050505049
100.0,0.001,600.0,179.91277237935148,180.27277456810899,0.9981833241153109,0.2258356660500426,0.22627239593462434,0.9981080839649789,1.7834446864450112e-14,0.5073677644069033,29.685607442593046,29.74500780373798,6.060606060606061
100.0,0.001,700.0,209.8982344425771,210.20064566369277,0.998765172114807,0.2258356660500426,0.22620553286053696,0.9984054438883223,1.7834446864450112e-14,0.628565599472903,29.68560744259305,29.728377029579416,7.070707070707068
100.0,0.001,800.0,239.88369650580222,239.7641826734897,1.0007118878667585,0.2258356660500426,0.22614587272281547,0.9986691271193793,1.188963124296674e-14,0.7341529933716724,29.68560744259305,29.670817605844345,8.080808080808083
100.0,0.001,900.0,269.8691585690275,269.6550598844565,1.0009847470289466,0.2258356660500426,0.225969708882381,0.9994485458158402,2.377926248593348e-14,0.778865864908651,29.68560744259305,29.662056587290223,9.090909090909088
100.0,0.001,1000.0,299.85462063225276,300.23884986205866,0.9988695683850973,0.2258356660500426,0.22633061795140988,0.9978622074977632,1.188963124296674e-14,0.7669315042666361,29.68560744259305,29.723646136343817,10.101010101010099
100.0,0.0015505157798326253,100.0,29.985462063225278,30.039087240559027,0.9986870337579374,0.2258356660500426,0.22723210243383918,0.9939403103394335,1.4862039053708426e-15,0.13717419864754976,29.68560744259305,29.738696368153445,1.01010101010101
100.0,0.0015505157798326253,200.0,59.970924126450555,60.03679093110363,0.999239756662204,0.2258356660500426,0.22699027876603722,0.9950015214496587,2.972407810741685e-15,0.23040932271265455,29.68560744259305,29.718211510896296,2.0202020202020203
100.0,0.0015505157798326253,300.0,89.95638618967574,90.0287648856502,0.9996679067333528,0.2258356660500426,0.2267744377032756,0.9959527623496254,8.917223432225056e-15,0.406749955796043,29.685607442593046,29.70949241226457,3.03030303030303
100.0,0.0015505157798326253,400.0,119.94184825290111,120.2884140095972,0.9975013062498767,0.2258356660500426,0.22674694266239606,0.996066509373447,5.94481562148337e-15,0.4933110985397066,29.68560744259305,29.771382467375307,4.040404040404041
100.0,0.0015505157798326253,500.0,149.92731031612638,150.14423012683986,0.9989297960974747,0.2258356660500426,0.22729792822762462,0.9936391467029444,5.94481562148337e-15,0.6097451994016138,29.68560744259305,29.728557565114297,5.050505050505049
100.0,0.0015505157798326253,600.0,179.91277237935148,180.31952189115634,0.9980973097510868,0.2258356660500426,0.22695895840743407,0.995115621330138,1.7834446864450112e-14,0.7084981291624346,29.685607442593046,29.75272111204081,6.060606060606058
100.0,0.0015505157798326253,700.0,209.8982344425771,209.34451897161517,1.0030114692170722,0.2258356660500426,0.22654592807662832,0.9969423622916195,1.7834446864450112e-14,0.8370775361826414,29.68560744259305,29.607296254557014,7.070707070707068
100.0,0.0015505157798326253,800.0,239.88369650580222,239.97348201521535,0.9999463917269509,0.2258356660500426,0.2267562035742526,0.9960221591635146,1.188963124296674e-14,0.9008323372073482,29.68560744259305,29.696718399382913,8.080808080808078
100.0,0.0015505157798326253,900.0,269.8691585690275,269.97721683254,0.9999469343465748,0.2258356660500426,0.22656230406071182,0.9968843348390685,2.377926248593348e-14,1.0520574491317591,29.68560744259305,29.69749385157941,9.090909090909088
100.0,0.0015505157798326253,1000.0,299.85462063225276,299.39320378746334,1.0019187643855818,0.2258356660500426,0.2269302760887844,0.9952472144959461,1.188963124296674e-14,1.2154277674622627,29.68560744259305,29.63992717495887,10.1010101010101
100.0,0.002404099183509972,100.0,29.985462063225278,30.04490151892323,0.9991012150987092,0.2258356660500426,0.22798537312119632,0.9907880958062856,1.4862039053708426e-15,0.20632375327168317,29.68560744259305,29.744452503734006,1.0101010101010097
100.0,0.002404099183509972,200.0,59.970924126450555,60.094640865921164,0.9988633094384183,0.2258356660500426,0.22828807304003504,0.9894544237247679,2.972407810741685e-15,0.3812953624092313,29.68560744259305,29.746847228630976,2.0202020202020203
100.0,0.002404099183509972,300.0,89.95638618967574,89.99356974335595,1.000369049694383,0.2258356660500426,0.2280654553875474,0.9904645669886771,8.917223432225056e-15,0.5269208790872095,29.685607442593046,29.69787801530747,3.0303030303030294
